1 - Hashing Dinamico
2 - Importar CSV
9 - Ligar Servidor

[  0]     0 = ActualPower:7 | CurrentSize:6 | [ {ID:128 Address: 7C7C} {ID:256 Address: F9CA} {ID:384 Address:1778D} {ID:512 Address:1F709} {ID:640 Address:27AC0} {ID:768 Address:2D987}                                                                                                                    ]
[ 23]  1080 = ActualPower:7 | CurrentSize:7 | [ {ID: 23 Address: 156C} {ID:151 Address: 931B} {ID:279 Address:11063} {ID:407 Address:18E0C} {ID:535 Address:20EAD} {ID:663 Address:28E27} {ID:791 Address:2EA57}                                                                                             ]
[ 24]  1140 = ActualPower:7 | CurrentSize:7 | [ {ID: 24 Address: 1658} {ID:152 Address: 9417} {ID:280 Address:1115F} {ID:408 Address:18F08} {ID:536 Address:20FB7} {ID:664 Address:28EE6} {ID:792 Address:2EB10}                                                                                             ]
[ 25]  1200 = ActualPower:7 | CurrentSize:7 | [ {ID: 25 Address: 1752} {ID:153 Address: 950D} {ID:281 Address:11257} {ID:409 Address:1900B} {ID:537 Address:210AA} {ID:665 Address:28F9C} {ID:793 Address:2EBC9}                                                                                             ]
[ 26]  12C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 26 Address: 184F} {ID:154 Address: 95EE} {ID:282 Address:11354} {ID:410 Address:19109} {ID:538 Address:211C8} {ID:666 Address:29052} {ID:794 Address:2EC83}                                                                                             ]
[ 27]  1380 = ActualPower:7 | CurrentSize:7 | [ {ID: 27 Address: 1940} {ID:155 Address: 96CE} {ID:283 Address:11451} {ID:411 Address:19207} {ID:539 Address:212C9} {ID:667 Address:29104} {ID:795 Address:2ED41}                                                                                             ]
[ 28]  1440 = ActualPower:7 | CurrentSize:7 | [ {ID: 28 Address: 1A3D} {ID:156 Address: 97C2} {ID:284 Address:11553} {ID:412 Address:19309} {ID:540 Address:213D2} {ID:668 Address:291B6} {ID:796 Address:2EDFF}                                                                                             ]
[ 29]  1500 = ActualPower:7 | CurrentSize:7 | [ {ID: 29 Address: 1B30} {ID:157 Address: 98C4} {ID:285 Address:11656} {ID:413 Address:19405} {ID:541 Address:214E0} {ID:669 Address:2926D} {ID:797 Address:2EEBA}                                                                                             ]
[ 30]  15C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 30 Address: 1C33} {ID:158 Address: 99BA} {ID:286 Address:1174D} {ID:414 Address:19508} {ID:542 Address:215EA} {ID:670 Address:29322} {ID:798 Address:2EF73}                                                                                             ]
[ 31]  1680 = ActualPower:7 | CurrentSize:7 | [ {ID: 31 Address: 1D39} {ID:159 Address: 9AB4} {ID:287 Address:1184E} {ID:415 Address:1960C} {ID:543 Address:216FC} {ID:671 Address:293DB} {ID:799 Address:2F030}                                                                                             ]
[ 32]  2F40 = ActualPower:7 | CurrentSize:7 | [ {ID: 32 Address: 1E3D} {ID:160 Address: 9BB2} {ID:288 Address:1193C} {ID:416 Address:1970B} {ID:544 Address:21803} {ID:672 Address:29492} {ID:800 Address:2F0EF}                                                                                             ]
[ 33]  1800 = ActualPower:7 | CurrentSize:7 | [ {ID: 33 Address: 1F3E} {ID:161 Address: 9CA4} {ID:289 Address:11A2A} {ID:417 Address:1980B} {ID:545 Address:2190A} {ID:673 Address:29544} {ID:801 Address:2F1A3}                                                                                             ]
[ 34]  18C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 34 Address: 2038} {ID:162 Address: 9D8D} {ID:290 Address:11B28} {ID:418 Address:1990B} {ID:546 Address:21A08} {ID:674 Address:295F6} {ID:802 Address:2F25B}                                                                                             ]
[ 35]  1980 = ActualPower:7 | CurrentSize:7 | [ {ID: 35 Address: 212B} {ID:163 Address: 9E85} {ID:291 Address:11C26} {ID:419 Address:19A10} {ID:547 Address:21B1F} {ID:675 Address:296AD} {ID:803 Address:2F320}                                                                                             ]
[ 36]  1A40 = ActualPower:7 | CurrentSize:7 | [ {ID: 36 Address: 2224} {ID:164 Address: 9F86} {ID:292 Address:11D20} {ID:420 Address:19B0A} {ID:548 Address:21C31} {ID:676 Address:29765} {ID:804 Address:2F3D4}                                                                                             ]
[ 37]  1B00 = ActualPower:7 | CurrentSize:7 | [ {ID: 37 Address: 2320} {ID:165 Address: A08B} {ID:293 Address:11E24} {ID:421 Address:19C03} {ID:549 Address:21D38} {ID:677 Address:29819} {ID:805 Address:2F492}                                                                                             ]
[ 38]  1BC0 = ActualPower:7 | CurrentSize:7 | [ {ID: 38 Address: 240E} {ID:166 Address: A192} {ID:294 Address:11F28} {ID:422 Address:19D03} {ID:550 Address:21E4C} {ID:678 Address:298D1} {ID:806 Address:2F54E}                                                                                             ]
[ 39]  1C80 = ActualPower:7 | CurrentSize:7 | [ {ID: 39 Address: 2500} {ID:167 Address: A297} {ID:295 Address:12016} {ID:423 Address:19DFF} {ID:551 Address:21F59} {ID:679 Address:2998E} {ID:807 Address:2F608}                                                                                             ]
[ 40]  1D40 = ActualPower:7 | CurrentSize:7 | [ {ID: 40 Address: 25F5} {ID:168 Address: A39C} {ID:296 Address:1211A} {ID:424 Address:19F07} {ID:552 Address:22071} {ID:680 Address:29A41} {ID:808 Address:2F6BF}                                                                                             ]
